Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
244,36,40,0,0,27,0,0,0,0,0
245,21,46,0,0,22,0,0,0,0,0
246,40,37,0,0,25,0,0,0,0,0
247,19,41,0,0,18,0,0,0,0,0
248,24,49,0,0,23,0,0,0,0,0
249,23,46,0,0,33,0,0,0,0,0
250,23,42,0,0,55,0,0,0,0,0
251,23,44,0,0,53,0,0,0,0,0
252,21,49,0,0,51,0,0,0,0,0
253,21,42,0,0,48,0,0,0,0,0
254,19,42,0,0,50,0,0,0,0,0
255,20,37,0,0,46,0,0,0,0,0
256,17,53,0,0,49,0,0,0,0,0
257,12,40,0,0,52,0,0,0,0,0
258,25,44,0,0,48,0,0,0,0,0
259,12,43,0,0,43,0,0,0,0,0
260,16,46,0,0,38,0,0,0,0,0
261,11,40,0,0,53,0,0,0,0,0
262,16,48,0,0,47,0,0,0,0,0
263,15,44,0,0,45,0,0,0,0,0
264,17,49,0,0,37,0,0,0,0,0
265,12,59,0,0,39,0,0,0,0,0
266,10,46,0,0,41,0,0,0,0,0
267,11,39,0,0,40,0,0,0,0,0
268,9,37,0,0,51,0,0,0,0,0
269,15,39,0,0,51,0,0,0,0,0
270,12,46,0,0,42,0,0,0,0,0
271,10,34,0,0,52,0,0,0,0,0
272,13,52,0,0,45,0,0,0,0,0
273,13,38,0,0,48,0,0,0,0,0
274,11,36,0,0,40,0,0,0,0,0
275,15,29,0,0,53,0,0,0,0,0
276,13,38,0,0,55,0,0,0,0,0
277,7,41,0,0,51,0,0,0,0,0
278,6,29,0,0,50,0,0,0,0,0
279,5,37,0,0,47,0,0,0,0,0
280,7,39,0,0,49,0,0,0,0,0
281,5,35,0,0,48,0,0,0,0,0
282,7,34,0,0,47,0,0,0,0,0
283,12,35,0,0,73,0,0,0,0,0
284,3,39,0,0,57,0,0,0,0,0
285,4,33,0,0,51,0,0,0,0,0
286,10,35,0,0,57,0,0,0,0,0
287,1,31,0,0,59,0,0,0,0,0
288,8,35,0,0,68,0,0,0,0,0
289,6,42,0,0,60,0,0,0,0,0
290,5,38,0,0,80,0,0,0,0,0
291,5,31,0,0,53,0,0,0,0,0
292,2,32,0,0,55,0,0,0,0,0
293,2,30,0,0,75,0,0,0,0,0
294,5,25,0,0,65,0,0,0,0,0
295,4,30,0,0,73,0,0,0,0,0
296,0,30,0,0,73,0,0,0,0,0
297,3,28,0,0,64,0,0,0,0,0
298,4,21,0,0,71,0,0,0,0,0
299,0,23,0,0,71,0,0,0,0,0
300,1,23,0,0,99,0,0,0,0,0
301,3,19,0,0,77,0,0,0,0,0
302,1,17,0,0,85,0,0,0,0,0
303,3,19,0,0,93,0,0,0,0,0
304,5,21,0,0,76,0,0,0,0,0
305,5,28,0,0,79,0,0,0,0,0
306,5,22,0,0,99,0,0,0,0,0
307,3,22,0,0,86,0,0,0,0,0
308,2,21,0,0,107,0,0,0,0,0
309,1,18,0,0,91,0,0,0,0,0
310,5,11,0,0,84,0,0,0,0,0
311,3,13,0,0,74,0,0,0,0,0
312,1,13,0,0,76,0,0,0,0,0
313,2,12,0,0,83,0,0,0,0,0
314,1,9,0,0,78,0,0,0,0,0
315,1,12,0,0,85,0,0,0,0,0
316,1,16,0,0,100,0,0,0,0,0
317,0,12,0,0,80,0,0,0,0,0
318,4,13,0,0,85,0,0,0,0,0
319,1,16,0,0,81,0,0,0,0,0
320,0,13,0,0,82,0,0,0,0,0
321,0,10,0,0,66,0,0,0,0,0
322,2,15,0,0,91,0,0,0,0,0
323,1,12,0,0,87,0,0,0,0,0
324,2,12,0,0,83,0,0,0,0,0
325,0,7,0,0,84,0,0,0,0,0
326,0,16,0,0,79,0,0,0,0,0
327,0,13,0,0,94,0,0,0,0,0
328,0,10,0,0,73,0,0,0,0,0
329,1,7,0,0,83,0,0,0,0,0
